@relation null

@attribute idadenumero {De30a43,De54a66,De23a29,De44a53,De18a22}
@attribute sexo {Feminino,Masculino}
@attribute glabela {NadaProeminente,Proeminente,PoucoProeminente,MuitoProeminente,Indisponivel}
@attribute fronte {MuitoVertical,Inclinada,Vertical,MuitoInclinada,Indisponivel}
@attribute incisivos {Quadrado,Redondo,MuitoQuadrado,MuitoRedondo,Indisponivel}
@attribute mentoredondo {Arredondado,Quadrado,MuitoArredondado,MuitoQuadrado,Indisponivel}
@attribute mentoproeminencia {Discreto,Proeminente,MuitoProeminente,MuitoDiscreto,Indisponivel}
@attribute orbita {Angulosa,Redonda,MuitoRedonda,Indisponivel,MuitoAngulosa}

@data
De18a22,Feminino,PoucoProeminente,Inclinada,Quadrado,Arredondado,MuitoDiscreto,Redonda
De18a22,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Discreto,Angulosa
De18a22,Masculino,PoucoProeminente,MuitoInclinada,Redondo,MuitoQuadrado,Discreto,Angulosa
De18a22,Masculino,NadaProeminente,MuitoInclinada,MuitoRedondo,Quadrado,Proeminente,Angulosa
De18a22,Feminino,PoucoProeminente,MuitoVertical,MuitoQuadrado,Arredondado,MuitoProeminente,Redonda
De54a66,Feminino,NadaProeminente,Inclinada,Redondo,Arredondado,Discreto,Angulosa
De30a43,Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Proeminente,Redonda
De30a43,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Angulosa
De54a66,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,MuitoProeminente,Redonda
De54a66,Feminino,NadaProeminente,MuitoInclinada,Quadrado,Quadrado,MuitoDiscreto,Redonda
De54a66,Feminino,PoucoProeminente,Vertical,Quadrado,Quadrado,Discreto,Redonda
De54a66,Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoQuadrado,MuitoDiscreto,Redonda
De18a22,Feminino,PoucoProeminente,Vertical,MuitoQuadrado,Arredondado,MuitoDiscreto,Angulosa
De18a22,Masculino,MuitoProeminente,MuitoVertical,Quadrado,Arredondado,MuitoProeminente,Redonda
De18a22,Masculino,Proeminente,Inclinada,MuitoQuadrado,Quadrado,MuitoDiscreto,Angulosa
De54a66,Feminino,NadaProeminente,MuitoInclinada,Quadrado,Quadrado,MuitoDiscreto,Redonda
De18a22,Masculino,Proeminente,Vertical,Quadrado,MuitoQuadrado,Proeminente,Redonda
De54a66,Masculino,Proeminente,Inclinada,Quadrado,MuitoArredondado,Proeminente,Redonda
De18a22,Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,Angulosa
De18a22,Feminino,NadaProeminente,Inclinada,Quadrado,MuitoArredondado,Proeminente,Redonda
De54a66,Masculino,MuitoProeminente,Vertical,Quadrado,Quadrado,MuitoDiscreto,Angulosa
De44a53,Feminino,NadaProeminente,MuitoInclinada,Redondo,Arredondado,Proeminente,Redonda
De18a22,Feminino,NadaProeminente,Inclinada,MuitoRedondo,MuitoQuadrado,Discreto,Angulosa
De23a29,Feminino,PoucoProeminente,Vertical,Redondo,Quadrado,Proeminente,Angulosa
De44a53,Masculino,PoucoProeminente,Inclinada,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
De18a22,Masculino,Proeminente,Inclinada,Redondo,MuitoQuadrado,Discreto,Angulosa
De44a53,Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,Proeminente,Angulosa
De18a22,Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,Proeminente,Redonda
De18a22,Feminino,PoucoProeminente,MuitoVertical,Quadrado,Arredondado,MuitoProeminente,Redonda
De44a53,Feminino,PoucoProeminente,MuitoVertical,Redondo,Quadrado,Proeminente,Angulosa
De54a66,Masculino,MuitoProeminente,Vertical,Quadrado,Quadrado,MuitoDiscreto,Angulosa
De44a53,Masculino,Proeminente,Vertical,Quadrado,Quadrado,Proeminente,Angulosa
De44a53,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Discreto,MuitoRedonda
De30a43,Feminino,NadaProeminente,MuitoInclinada,Redondo,Quadrado,Discreto,Redonda
De44a53,Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Proeminente,Redonda
De30a43,Feminino,NadaProeminente,Inclinada,Redondo,Arredondado,Discreto,Angulosa
De18a22,Feminino,NadaProeminente,MuitoInclinada,Quadrado,Quadrado,Proeminente,Redonda
De18a22,Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoArredondado,Proeminente,Angulosa
